ACCYMD,PLACE,CARTYPE
發生時間,發生地點,車種
114年01月01日 00時00分00秒,桃園市大園區桃園國際機場/航站南路長榮航太前,租賃車-小客車(含客、貨兩用)
114年01月01日 00時00分00秒,桃園市大園區桃園國際機場/航站南路長榮航太前,租賃車-小客車(含客、貨兩用)
114年01月01日 00時10分00秒,臺南市安平區永華路二段東側 / 臺南市安平區永華三街,普通重型-機車;自用-小客車(含客、貨兩用)
114年01月01日 00時10分00秒,臺南市安平區永華路二段東側 / 臺南市安平區永華三街,普通重型-機車;自用-小客車(含客、貨兩用)
114年01月01日 00時20分00秒,桃園市大園區三民路一段口 / 桃園市大園區航翔路附近,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 00時20分00秒,桃園市大園區三民路一段口 / 桃園市大園區航翔路附近,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 00時24分00秒,彰化縣花壇鄉口庄街北側 / 彰化縣花壇鄉口庄街,微型電動二輪車-慢車;自用-小客車(含客、貨兩用)
114年01月01日 00時24分00秒,彰化縣花壇鄉口庄街北側 / 彰化縣花壇鄉口庄街,微型電動二輪車-慢車;自用-小客車(含客、貨兩用)
114年01月01日 00時32分00秒,桃園市蘆竹區武聖街口 / 桃園市蘆竹區南山路三段附近,普通重型-機車;自用-小客車(含客、貨兩用)
114年01月01日 00時32分00秒,桃園市蘆竹區武聖街口 / 桃園市蘆竹區南山路三段附近,普通重型-機車;自用-小客車(含客、貨兩用)
114年01月01日 00時35分00秒,桃園市蘆竹區大古路,腳踏自行車-慢車;大型重型2(250-550C.C.)-機車
114年01月01日 00時35分00秒,桃園市蘆竹區大古路,腳踏自行車-慢車;大型重型2(250-550C.C.)-機車
114年01月01日 00時35分00秒,臺南市南區新興路口 / 臺南市南區金華路口,普通重型-機車
114年01月01日 00時35分00秒,臺南市南區新興路口 / 臺南市南區金華路口,普通重型-機車
114年01月01日 00時37分26秒,雲林縣古坑鄉雲199線390735電線桿前,普通重型-機車;自用-小客車(含客、貨兩用)
114年01月01日 00時37分26秒,雲林縣古坑鄉雲199線390735電線桿前,普通重型-機車;自用-小客車(含客、貨兩用)
114年01月01日 00時43分00秒,臺南市善化區目加溜灣大道燈桿430512附近,電動輔助自行車-慢車;自用-小客車(含客、貨兩用)
114年01月01日 00時43分00秒,臺南市善化區目加溜灣大道燈桿430512附近,電動輔助自行車-慢車;自用-小客車(含客、貨兩用)
114年01月01日 00時43分00秒,彰化縣田中鎮高鐵三路三段(彰高二號廣場公園對面),自用-小客車(含客、貨兩用)
114年01月01日 00時43分00秒,彰化縣田中鎮高鐵三路三段(彰高二號廣場公園對面),自用-小客車(含客、貨兩用)
114年01月01日 00時45分00秒,南投縣草屯鎮中正路與中興路,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 00時45分00秒,南投縣草屯鎮中正路與中興路,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 00時45分00秒,南投縣草屯鎮中正路與中興路,自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用);自用-小客車(含客、貨兩用)
114年01月01日 00時45分00秒,南投縣草屯鎮中正路和成功路口,普通重型-機車;普通重型-機車;乘客-人
114年01月01日 00時45分00秒,南投縣草屯鎮中正路和成功路口,普通重型-機車;普通重型-機車;乘客-人
114年01月01日 00時45分00秒,南投縣草屯鎮中正路和成功路口,普通重型-機車;普通重型-機車;乘客-人
114年01月01日 00時45分37秒,新竹縣寶山鄉環北路555號前,普通重型-機車;自用-小客車(含客、貨兩用)
